Estacion;Mes;Frecuencia de días con Precipitación superior a 1.0 mm;Humedad (%);Nubosidad (octavos);Precipitación (mm);Temp Media (°C);Temp Máx (°C);Temp Mín (°C);Velocidad del Viento (km/h) (2011-2020)
PASO DE LOS LIBRES AERO;Jul;5.4;79.7;4.0;68.2;13.4;19.0;9.0;15.4
PASO DE LOS LIBRES AERO;Ago;4.6;74.9;3.7;57.0;15.4;21.8;10.3;17.9
PASO DE LOS LIBRES AERO;Sep;6.3;73.2;4.0;91.7;17.2;23.2;12.2;19.3
PASO DE LOS LIBRES AERO;Oct;8.8;73.5;4.0;173.0;20.2;25.8;15.2;19.7
PASO DE LOS LIBRES AERO;Nov;6.5;68.4;3.4;134.2;22.6;28.6;16.9;17.7
PASO DE LOS LIBRES AERO;Dic;7.4;68.1;3.6;161.7;24.9;31.0;19.2;15.9
PEHUAJÓ AERO;Ene;7.5;68.0;3.4;116.0;23.0;29.8;16.2;
PEHUAJÓ AERO;Feb;6.3;73.0;3.3;91.3;21.6;28.5;15.1;
PEHUAJÓ AERO;Mar;7.2;75.8;3.3;128.6;19.4;26.5;13.3;
PEHUAJÓ AERO;Abr;6.4;77.7;3.6;91.2;15.5;22.3;10.0;
PEHUAJÓ AERO;May;4.3;81.0;4.1;55.3;11.9;18.2;7.1;
PEHUAJÓ AERO;Jun;3.4;80.4;4.2;25.1;8.8;14.9;4.0;
PEHUAJÓ AERO;Jul;3.3;78.5;4.2;23.8;7.8;14.2;3.0;
PEHUAJÓ AERO;Ago;3.2;73.8;3.8;32.0;9.9;17.0;4.3;
PEHUAJÓ AERO;Sep;4.7;70.8;3.8;57.3;12.5;19.3;6.5;
PEHUAJÓ AERO;Oct;8.1;72.9;4.1;109.0;15.7;22.1;9.9;
PEHUAJÓ AERO;Nov;6.9;68.5;3.6;102.1;19.0;25.8;12.7;
PEHUAJÓ AERO;Dic;7.3;65.6;3.3;109.0;21.9;28.8;14.9;
PERITO MORENO AERO;Ene;;47.6;3.8;;15.4;21.5;9.5;35.4
PERITO MORENO AERO;Feb;;50.7;3.9;;15.0;21.3;9.0;30.0
PERITO MORENO AERO;Mar;;56.8;3.8;;12.2;18.2;6.8;26.8
PERITO MORENO AERO;Abr;;64.4;3.8;;8.6;14.4;3.6;23.8
PERITO MORENO AERO;May;;73.4;4.4;;5.1;9.9;0.6;19.9
PERITO MORENO AERO;Jun;;76.8;4.3;;2.3;;-2.2;21.6
PERITO MORENO AERO;Jul;;;4.2;;1.7;6.4;-2.8;20.0
PERITO MORENO AERO;Ago;;70.4;4.0;;3.6;8.8;-0.9;22.4
PERITO MORENO AERO;Sep;;63.0;4.0;;6.1;11.7;0.9;24.4
PERITO MORENO AERO;Oct;;53.5;3.9;;9.2;15.0;3.4;28.1
PERITO MORENO AERO;Nov;;50.5;4.1;;11.8;17.6;6.1;34.1
PERITO MORENO AERO;Dic;;47.1;4.2;;14.1;19.6;8.2;36.5
PIGÜÉ AERO;Ene;6.9;60.3;3.5;81.2;21.5;28.9;14.3;
PIGÜÉ AERO;Feb;6.0;65.0;3.4;101.2;20.2;27.6;13.3;
PIGÜÉ AERO;Mar;6.5;71.2;3.5;95.8;17.9;24.8;11.6;
PIGÜÉ AERO;Abr;5.0;73.5;3.8;72.3;13.5;20.1;8.0;
PIGÜÉ AERO;May;4.3;78.9;4.6;43.1;9.9;15.8;5.1;
PIGÜÉ AERO;Jun;3.3;77.8;4.7;24.5;7.0;12.7;2.1;
PIGÜÉ AERO;Jul;3.6;76.1;4.6;31.5;6.1;11.8;1.2;
PIGÜÉ AERO;Ago;3.7;70.0;4.3;34.4;8.1;14.6;2.6;
PIGÜÉ AERO;Sep;5.4;68.4;4.2;59.7;10.4;17.0;4.3;
PIGÜÉ AERO;Oct;7.4;68.3;4.2;94.0;13.5;19.9;7.3;
PIGÜÉ AERO;Nov;7.3;62.9;3.8;93.4;17.0;24.0;10.0;
PIGÜÉ AERO;Dic;6.8;57.1;3.6;87.3;20.3;27.8;12.7;
PILAR OBSERVATORIO;Ene;7.9;69.7;3.4;112.5;23.7;30.1;18.0;
PILAR OBSERVATORIO;Feb;7.5;75.5;3.5;112.1;22.1;28.3;17.0;
PILAR OBSERVATORIO;Mar;6.9;76.5;3.4;97.5;20.6;27.0;15.5;
PILAR OBSERVATORIO;Abr;5.2;74.8;3.7;64.9;17.3;24.0;12.3;
PILAR OBSERVATORIO;May;2.9;76.0;4.2;23.9;13.7;20.2;8.9;
PILAR OBSERVATORIO;Jun;1.1;73.1;3.7;7.0;10.6;17.6;5.3;
PILAR OBSERVATORIO;Jul;1.0;67.2;3.4;6.1;9.6;17.1;4.2;
PILAR OBSERVATORIO;Ago;0.9;59.5;3.0;8.1;12.0;20.2;5.7;
PILAR OBSERVATORIO;Sep;2.8;57.9;3.2;28.1;14.9;22.6;8.4;
PILAR OBSERVATORIO;Oct;5.5;62.7;3.6;76.3;18.2;25.1;12.1;
PILAR OBSERVATORIO;Nov;7.9;62.1;3.4;98.9;21.1;28.0;14.8;
PILAR OBSERVATORIO;Dic;8.2;63.7;3.4;118.4;23.3;30.0;17.1;
POSADAS AERO;Ene;8.1;68.1;3.4;168.7;27.2;33.0;22.1;9.8
POSADAS AERO;Feb;7.8;70.4;3.6;136.9;26.5;32.4;21.7;9.7
POSADAS AERO;Mar;7.8;71.9;3.3;171.0;25.1;31.0;20.4;9.3
POSADAS AERO;Abr;7.6;74.4;3.3;179.0;22.3;28.0;17.7;9.0
POSADAS AERO;May;7.5;77.3;3.7;138.4;18.6;23.9;14.4;9.1
POSADAS AERO;Jun;6.6;77.5;4.0;128.6;17.1;22.2;13.1;9.8
POSADAS AERO;Jul;6.7;73.9;3.5;94.1;16.3;22.0;11.8;10.0
POSADAS AERO;Ago;5.6;68.3;3.4;87.1;18.2;24.5;13.3;11.5
POSADAS AERO;Sep;8.1;67.9;3.6;132.8;20.0;25.9;15.0;11.4
POSADAS AERO;Oct;10.4;69.6;3.8;253.4;22.6;28.5;17.6;12.2
POSADAS AERO;Nov;8.0;65.4;3.2;178.8;24.4;30.4;18.9;11.2
POSADAS AERO;Dic;8.1;66.3;3.4;204.4;26.5;32.3;21.1;10.4
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Ene;7.6;71.1;3.6;164.3;27.1;33.8;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Feb;6.5;73.3;3.6;115.8;26.3;33.0;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Mar;7.3;77.1;3.5;137.0;24.4;31.3;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Abr;6.6;81.1;3.9;117.6;21.1;27.7;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;May;4.6;81.3;4.0;48.8;17.0;23.8;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Jun;3.0;80.7;4.5;23.4;15.4;22.1;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Jul;2.0;73.8;3.6;12.8;14.3;22.3;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Ago;2.5;64.8;2.8;24.8;17.0;25.7;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Sep;3.4;62.5;3.3;31.2;19.7;27.8;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Oct;7.1;67.3;3.7;98.3;23.0;30.0;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Nov;6.9;68.5;3.3;125.3;24.3;31.4;;
PRESIDENCIA ROQUE SAENZ PEÑA AERO*;Dic;7.0;69.4;3.5;133.6;26.2;33.0;;
PUERTO DESEADO AERO;Ene;;54.7;4.3;;16.4;23.4;10.5;
PUERTO DESEADO AERO;Feb;;59.5;4.3;;15.6;22.3;10.2;
PUERTO DESEADO AERO;Mar;;62.9;4.0;;13.8;20.2;8.6;
PUERTO DESEADO AERO;Abr;;65.0;3.8;;10.5;16.2;5.8;
PUERTO DESEADO AERO;May;;70.5;4.1;;7.2;11.7;3.2;
PUERTO DESEADO AERO;Jun;;75.1;4.2;;4.3;8.0;0.8;
PUERTO DESEADO AERO;Jul;;74.6;4.1;;3.5;7.6;0.1;
PUERTO DESEADO AERO;Ago;;69.6;4.2;;5.2;10.2;1.2;
PUERTO DESEADO AERO;Sep;;66.4;4.2;;7.3;13.1;2.6;
PUERTO DESEADO AERO;Oct;;60.4;4.4;;10.3;16.6;5.0;
PUERTO DESEADO AERO;Nov;;55.5;4.6;;13.1;19.7;7.3;
PUERTO DESEADO AERO;Dic;;55.6;4.6;;15.1;21.6;9.4;
PUNTA INDIO B.A.;Ene;6.0;76.4;3.6;97.4;23.0;27.9;18.3;
PUNTA INDIO B.A.;Feb;7.0;79.6;3.5;116.1;22.2;27.0;17.6;
PUNTA INDIO B.A.;Mar;6.6;81.7;3.4;94.8;20.4;25.2;16.0;
PUNTA INDIO B.A.;Abr;6.9;84.3;3.7;93.8;16.7;21.7;12.4;
PUNTA INDIO B.A.;May;5.7;86.6;4.2;67.5;13.2;18.0;9.3;
PUNTA INDIO B.A.;Jun;5.3;86.8;4.3;69.3;10.2;14.8;6.3;
PUNTA INDIO B.A.;Jul;6.1;86.3;4.3;82.5;9.2;13.7;5.4;
PUNTA INDIO B.A.;Ago;5.9;84.3;4.1;68.9;10.8;15.8;6.6;
PUNTA INDIO B.A.;Sep;6.5;82.6;4.1;77.2;12.8;17.5;8.5;
PUNTA INDIO B.A.;Oct;7.4;81.6;4.3;95.9;15.9;20.5;11.5;
PUNTA INDIO B.A.;Nov;6.7;78.4;3.8;94.8;18.7;23.5;14.0;
PUNTA INDIO B.A.;Dic;6.4;75.3;3.6;82.3;21.4;26.6;16.5;
RECONQUISTA AERO;Ene;6.8;70.1;3.3;150.9;26.4;32.4;21.0;12.3
RECONQUISTA AERO;Feb;7.0;74.1;3.4;150.9;25.3;31.2;20.4;11.6
RECONQUISTA AERO;Mar;6.5;76.5;3.3;138.4;23.6;29.4;18.8;10.8
RECONQUISTA AERO;Abr;7.1;79.3;3.6;141.5;20.4;26.0;15.8;10.4
RECONQUISTA AERO;May;4.7;80.8;4.0;75.0;16.9;22.2;12.6;10.8
RECONQUISTA AERO;Jun;3.0;81.3;4.3;34.8;14.4;19.9;10.1;11.0
RECONQUISTA AERO;Jul;2.4;76.4;3.7;24.1;13.5;19.7;8.7;12.2
RECONQUISTA AERO;Ago;2.7;70.3;3.3;36.2;15.6;22.7;10.0;15.1
RECONQUISTA AERO;Sep;4.6;69.1;3.5;45.5;17.7;24.4;12.1;15.4
RECONQUISTA AERO;Oct;7.6;71.6;3.8;108.9;20.8;26.8;15.4;15.9
RECONQUISTA AERO;Nov;7.7;69.0;3.1;156.8;23.0;29.0;17.4;14.4
RECONQUISTA AERO;Dic;7.6;69.9;3.2;162.8;25.2;31.1;19.7;12.5
RESISTENCIA AERO;Ene;7.3;71.5;3.7;179.9;26.9;33.4;21.2;
RESISTENCIA AERO;Feb;7.3;74.1;3.7;156.8;26.1;32.3;20.8;
RESISTENCIA AERO;Mar;6.9;76.7;3.6;161.0;24.5;30.7;19.4;
RESISTENCIA AERO;Abr;6.7;80.0;3.8;165.1;21.4;27.4;16.4;
RESISTENCIA AERO;May;5.2;82.2;4.0;86.7;17.7;23.7;12.8;
RESISTENCIA AERO;Jun;4.0;81.9;4.4;59.9;15.8;21.7;11.1;
RESISTENCIA AERO;Jul;2.7;76.6;3.8;24.4;14.8;21.6;9.4;
RESISTENCIA AERO;Ago;2.9;70.5;3.4;35.3;16.9;24.4;10.7;
RESISTENCIA AERO;Sep;4.9;68.8;3.7;53.6;19.2;26.2;12.9;
RESISTENCIA AERO;Oct;7.8;71.9;4.0;138.2;22.2;28.5;16.5;
RESISTENCIA AERO;Nov;8.0;71.2;3.4;175.5;23.8;30.1;17.7;
RESISTENCIA AERO;Dic;7.8;71.4;3.7;156.7;26.0;32.2;20.1;
ROSARIO AERO;Ene;6.4;67.8;3.2;120.7;24.8;30.9;18.7;12.4
ROSARIO AERO;Feb;6.6;72.8;3.3;127.4;23.4;29.4;17.7;11.4
ROSARIO AERO;Mar;6.3;75.4;3.1;138.4;21.5;27.7;16.0;10.5
ROSARIO AERO;Abr;6.9;78.1;3.6;119.9;17.7;23.9;12.4;10.7
ROSARIO AERO;May;4.2;81.0;4.0;57.7;14.2;20.1;9.4;10.7
ROSARIO AERO;Jun;2.7;80.9;4.2;28.3;11.0;17.0;6.2;10.6
ROSARIO AERO;Jul;2.6;77.9;3.9;23.0;10.1;16.5;4.9;11.6
ROSARIO AERO;Ago;2.8;72.6;3.5;35.3;12.3;19.2;6.3;12.8
ROSARIO AERO;Sep;4.1;68.5;3.6;48.0;15.0;21.5;8.7;14.4
ROSARIO AERO;Oct;7.9;69.3;3.9;118.7;18.2;24.3;12.3;15.3
ROSARIO AERO;Nov;6.7;65.6;3.4;108.2;21.3;27.5;15.0;14.6
ROSARIO AERO;Dic;7.7;65.5;3.3;127.9;23.6;29.8;17.3;12.7
RÍO CUARTO AERO;Ene;8.4;66.7;3.3;135.4;23.0;29.1;17.6;18.0
RÍO CUARTO AERO;Feb;7.0;71.3;3.4;104.7;21.7;27.7;16.5;15.7
RÍO CUARTO AERO;Mar;6.8;72.8;3.2;102.0;20.0;26.3;15.1;15.8
RÍO CUARTO AERO;Abr;5.9;71.5;3.6;67.0;16.5;22.9;11.6;15.4
RÍO CUARTO AERO;May;3.4;73.3;4.0;29.2;12.8;19.1;8.2;14.9
RÍO CUARTO AERO;Jun;1.6;69.9;3.7;7.7;9.7;16.3;4.8;14.4
RÍO CUARTO AERO;Jul;1.8;64.8;3.5;9.0;8.8;15.7;3.8;16.0
RÍO CUARTO AERO;Ago;1.5;57.6;3.1;10.9;11.2;18.6;5.5;18.5
RÍO CUARTO AERO;Sep;3.9;56.5;3.3;35.0;14.0;21.1;8.1;20.5
RÍO CUARTO AERO;Oct;7.6;60.8;3.7;81.0;17.2;23.9;11.5;21.5
RÍO CUARTO AERO;Nov;8.7;59.4;3.6;127.0;20.3;26.8;14.3;21.7
RÍO CUARTO AERO;Dic;8.8;60.4;3.3;129.6;22.5;29.0;16.6;20.4
RÍO GALLEGOS AERO;Ene;5.6;51.9;5.4;26.9;13.6;20.0;7.4;26.2
RÍO GALLEGOS AERO;Feb;4.9;56.3;5.1;29.5;13.0;19.5;6.9;23.5
RÍO GALLEGOS AERO;Mar;5.6;62.4;4.9;28.6;10.8;17.1;5.4;21.6
RÍO GALLEGOS AERO;Abr;4.9;68.6;4.7;24.6;7.6;13.4;2.7;20.5
RÍO GALLEGOS AERO;May;4.3;75.1;4.4;24.3;4.4;8.8;0.2;18.3
RÍO GALLEGOS AERO;Jun;4.5;79.0;4.3;20.9;1.6;5.2;-2.1;19.6
RÍO GALLEGOS AERO;Jul;4.7;77.7;4.4;19.8;1.5;5.1;-2.3;18.8
RÍO GALLEGOS AERO;Ago;3.8;73.4;4.5;18.7;3.1;7.5;-0.8;20.4
RÍO GALLEGOS AERO;Sep;3.3;66.1;4.7;14.6;5.6;11.3;0.8;21.0
RÍO GALLEGOS AERO;Oct;2.8;56.9;4.8;14.5;8.3;14.8;2.3;23.7
RÍO GALLEGOS AERO;Nov;4.0;52.6;5.2;22.0;10.9;17.1;4.5;27.8
RÍO GALLEGOS AERO;Dic;6.4;52.5;5.5;32.2;12.6;18.6;6.5;27.1
RÍO GRANDE B.A.;Ene;7.3;74.3;5.4;37.2;11.0;16.0;5.9;28.7
RÍO GRANDE B.A.;Feb;6.0;76.4;5.1;31.4;10.4;15.7;5.5;25.6
RÍO GRANDE B.A.;Mar;6.5;80.3;4.9;28.6;8.4;13.6;4.1;24.1
RÍO GRANDE B.A.;Abr;6.5;84.0;4.7;30.1;5.7;10.6;1.8;20.7
RÍO GRANDE B.A.;May;5.7;87.5;4.3;28.8;2.9;6.8;-0.5;18.4
RÍO GRANDE B.A.;Jun;5.3;89.1;4.0;26.0;0.3;3.4;-2.8;19.5
RÍO GRANDE B.A.;Jul;5.9;88.6;4.2;26.1;0.1;3.2;-3.0;18.6
RÍO GRANDE B.A.;Ago;5.1;86.3;4.3;21.8;1.6;5.4;-1.4;20.4
RÍO GRANDE B.A.;Sep;4.6;82.3;4.6;17.5;3.6;8.2;-0.1;22.0
RÍO GRANDE B.A.;Oct;3.7;76.5;4.8;16.0;6.2;11.4;1.6;26.8
RÍO GRANDE B.A.;Nov;4.7;73.5;5.2;23.6;8.5;13.4;3.5;29.9
RÍO GRANDE B.A.;Dic;7.8;73.4;5.4;38.4;10.0;14.9;4.9;28.6
SALTA AERO;Ene;12.4;77.2;5.8;197.1;21.5;27.7;16.8;6.8
SALTA AERO;Feb;11.2;80.6;5.8;147.3;20.6;26.5;16.1;6.4
SALTA AERO;Mar;10.1;82.9;5.8;107.3;19.4;25.1;15.2;6.1
SALTA AERO;Abr;4.4;82.3;5.4;42.1;16.8;22.9;12.2;6.0
SALTA AERO;May;1.7;80.5;5.0;9.7;13.3;20.3;8.1;5.8
SALTA AERO;Jun;0.5;75.6;4.2;2.5;10.9;19.8;4.5;6.1
SALTA AERO;Jul;0.8;69.3;3.4;2.7;10.1;19.9;2.9;6.5
SALTA AERO;Ago;0.7;60.4;2.9;2.3;12.8;22.7;4.8;6.9
SALTA AERO;Sep;1.2;55.8;3.3;5.7;15.8;24.7;7.7;7.9
SALTA AERO;Oct;3.3;60.6;4.4;23.9;19.3;26.9;12.1;9.0
SALTA AERO;Nov;6.6;66.1;4.8;59.3;20.6;27.6;14.2;8.6
SALTA AERO;Dic;10.1;71.5;5.3;138.4;21.7;28.4;16.0;7.6
SAN ANTONIO OESTE AERO;Ene;2.7;47.1;2.8;19.4;22.8;30.4;15.7;
SAN ANTONIO OESTE AERO;Feb;2.9;51.2;2.8;27.3;21.8;29.2;14.6;
SAN ANTONIO OESTE AERO;Mar;2.9;54.9;3.1;33.4;19.2;26.4;12.3;
SAN ANTONIO OESTE AERO;Abr;2.9;59.7;3.3;37.6;14.3;21.5;7.8;
SAN ANTONIO OESTE AERO;May;3.6;67.5;3.9;28.4;10.2;16.9;4.6;
SAN ANTONIO OESTE AERO;Jun;3.2;67.0;4.1;25.7;7.5;13.8;2.1;
SAN ANTONIO OESTE AERO;Jul;2.7;65.9;3.8;20.9;6.6;13.4;1.0;
SAN ANTONIO OESTE AERO;Ago;2.2;59.4;3.9;16.6;8.7;15.8;2.5;
SAN ANTONIO OESTE AERO;Sep;3.0;56.5;3.7;17.9;11.3;18.1;4.3;
SAN ANTONIO OESTE AERO;Oct;3.4;51.5;3.7;27.8;15.2;22.0;7.7;
SAN ANTONIO OESTE AERO;Nov;3.1;48.0;3.6;19.0;18.7;25.9;11.1;
SAN ANTONIO OESTE AERO;Dic;2.3;45.5;3.3;19.4;21.5;28.9;13.8;
SAN FERNANDO AERO*;Ene;6.9;66.0;3.0;114.4;24.6;29.5;19.3;12.8
SAN FERNANDO AERO*;Feb;6.5;70.7;3.2;122.6;23.5;28.2;18.7;11.8
SAN FERNANDO AERO*;Mar;6.0;73.6;3.0;119.2;21.5;26.2;16.7;10.6
SAN FERNANDO AERO*;Abr;6.5;76.9;3.4;106.2;17.8;22.7;13.1;9.8
SAN FERNANDO AERO*;May;5.2;80.3;3.8;81.3;14.2;18.9;9.8;9.0
SAN FERNANDO AERO*;Jun;4.2;79.7;3.9;52.5;11.2;16.2;6.9;9.2
SAN FERNANDO AERO*;Jul;4.9;78.3;4.0;68.6;10.6;15.4;6.2;9.8
SAN FERNANDO AERO*;Ago;5.3;74.4;3.8;70.7;12.5;17.7;7.8;11.0
SAN FERNANDO AERO*;Sep;5.6;71.2;3.7;78.6;14.5;19.3;9.6;12.9
SAN FERNANDO AERO*;Oct;7.4;70.9;3.8;111.8;17.6;22.1;12.8;13.3
SAN FERNANDO AERO*;Nov;6.8;66.6;3.3;113.7;20.6;25.4;15.3;13.3
SAN FERNANDO AERO*;Dic;6.6;64.6;2.9;104.3;23.0;28.3;17.5;12.6
SAN JUAN AERO;Ene;2.8;43.0;2.8;17.4;27.3;35.1;19.8;15.3
SAN JUAN AERO;Feb;2.2;46.9;2.7;22.5;25.6;33.3;18.4;14.6
SAN JUAN AERO;Mar;1.9;52.6;2.6;10.8;22.8;30.5;16.1;13.0
SAN JUAN AERO;Abr;0.9;57.3;2.6;4.6;17.3;25.3;10.9;11.5
SAN JUAN AERO;May;0.7;62.2;2.9;3.4;12.3;20.5;6.0;9.7
SAN JUAN AERO;Jun;0.3;60.2;2.6;1.8;8.4;17.3;1.5;9.8
SAN JUAN AERO;Jul;0.4;55.1;2.3;1.3;7.5;16.7;0.3;10.4
SAN JUAN AERO;Ago;0.4;45.5;2.1;2.6;10.7;20.3;2.7;11.7
SAN JUAN AERO;Sep;0.8;40.8;2.2;3.7;14.9;23.8;6.6;13.7
SAN JUAN AERO;Oct;0.8;38.8;2.4;2.9;19.6;27.9;11.3;16.4
SAN JUAN AERO;Nov;1.1;38.2;2.2;7.2;23.5;31.6;15.0;17.2
SAN JUAN AERO;Dic;1.6;38.1;2.3;12.4;26.4;34.4;18.0;16.6
SAN JULIÁN AERO;Ene;3.2;51.5;4.4;16.5;16.1;22.9;9.4;27.6
SAN JULIÁN AERO;Feb;4.1;56.7;4.1;25.7;15.3;22.3;8.9;25.4
SAN JULIÁN AERO;Mar;3.8;59.3;3.9;25.6;13.2;19.9;7.4;23.9
SAN JULIÁN AERO;Abr;3.1;62.5;3.8;16.1;10.0;16.1;4.9;24.0
SAN JULIÁN AERO;May;4.2;69.5;3.8;24.8;6.5;11.3;2.1;22.7
SAN JULIÁN AERO;Jun;4.6;74.5;3.8;30.6;3.6;7.5;-0.1;25.6
SAN JULIÁN AERO;Jul;4.0;74.4;3.8;25.6;3.3;7.4;-0.5;23.9
