Estacion;Mes;Frecuencia de días con Precipitación superior a 1.0 mm;Humedad (%);Nubosidad (octavos);Precipitación (mm);Temp Media (°C);Temp Máx (°C);Temp Mín (°C);Velocidad del Viento (km/h) (2011-2020)
SAN JULIÁN AERO;Ago;3.7;69.6;3.9;18.7;4.8;10.0;0.6;25.6
SAN JULIÁN AERO;Sep;3.4;64.0;4.1;16.9;7.4;13.4;2.3;26.2
SAN JULIÁN AERO;Oct;3.5;57.0;4.1;17.6;10.2;16.7;4.2;26.7
SAN JULIÁN AERO;Nov;3.6;52.0;4.5;15.5;13.0;19.6;6.5;29.8
SAN JULIÁN AERO;Dic;4.4;52.5;4.7;24.6;14.7;21.4;8.3;29.2
SAN LUIS AERO;Ene;8.3;52.9;3.5;115.3;24.8;31.6;18.3;17.4
SAN LUIS AERO;Feb;7.0;58.1;3.3;112.5;23.2;30.0;17.2;15.9
SAN LUIS AERO;Mar;6.8;62.7;3.2;92.1;21.1;27.6;15.5;14.5
SAN LUIS AERO;Abr;4.4;64.9;3.5;44.8;16.9;23.3;11.8;13.6
SAN LUIS AERO;May;2.6;66.2;4.0;18.6;13.2;19.6;8.3;12.1
SAN LUIS AERO;Jun;1.2;62.0;3.7;5.4;10.3;17.1;5.0;13.4
SAN LUIS AERO;Jul;1.4;56.1;3.4;5.4;9.6;16.7;4.0;13.9
SAN LUIS AERO;Ago;1.6;47.6;3.1;8.6;12.2;19.5;6.2;15.6
SAN LUIS AERO;Sep;2.8;45.5;3.3;22.0;15.3;22.4;9.1;16.5
SAN LUIS AERO;Oct;5.0;47.8;3.5;50.1;18.9;25.6;12.5;18.4
SAN LUIS AERO;Nov;7.0;48.5;3.4;87.4;21.8;28.5;15.1;18.3
SAN LUIS AERO;Dic;8.3;49.7;3.3;104.9;24.0;30.8;17.3;17.7
SAN MARTÍN (MZA);Ene;5.3;53.5;2.7;48.0;25.2;32.9;18.3;
SAN MARTÍN (MZA);Feb;4.3;58.6;2.7;45.0;23.5;31.2;16.9;
SAN MARTÍN (MZA);Mar;3.3;63.8;2.7;47.1;20.9;28.5;15.0;
SAN MARTÍN (MZA);Abr;2.0;67.5;2.8;19.5;15.9;23.6;10.5;
SAN MARTÍN (MZA);May;1.6;69.8;3.3;10.9;11.7;19.2;6.6;
SAN MARTÍN (MZA);Jun;0.6;66.4;2.9;3.1;8.4;16.2;3.0;
SAN MARTÍN (MZA);Jul;0.6;61.3;2.5;3.1;7.6;15.8;1.9;
SAN MARTÍN (MZA);Ago;0.9;53.8;2.3;5.9;10.4;19.0;4.1;
SAN MARTÍN (MZA);Sep;1.4;50.9;2.5;8.4;14.0;22.2;7.3;
SAN MARTÍN (MZA);Oct;1.6;49.7;2.5;15.4;18.1;25.9;11.1;
SAN MARTÍN (MZA);Nov;2.8;48.8;2.4;26.6;21.7;29.4;14.4;
SAN MARTÍN (MZA);Dic;3.5;48.8;2.3;29.6;24.4;32.2;17.0;
SAN MIGUEL*;Ene;7.3;68.2;3.5;116.2;24.1;30.1;18.7;
SAN MIGUEL*;Feb;7.3;74.0;3.6;130.7;22.9;28.6;17.9;
SAN MIGUEL*;Mar;6.5;75.8;3.4;95.4;21.0;26.9;16.0;
SAN MIGUEL*;Abr;7.9;79.6;3.8;114.3;17.1;22.9;12.3;
SAN MIGUEL*;May;5.3;82.5;4.3;69.5;13.6;19.1;9.4;
SAN MIGUEL*;Jun;4.8;81.9;4.4;49.8;10.9;16.1;6.7;
SAN MIGUEL*;Jul;5.7;80.3;4.2;65.5;10.2;15.4;5.9;
SAN MIGUEL*;Ago;5.2;75.8;4.0;64.6;12.2;17.9;7.2;
SAN MIGUEL*;Sep;;73.4;4.1;;14.1;19.6;9.2;
SAN MIGUEL*;Oct;8.1;72.4;4.1;118.6;17.2;22.6;12.2;
SAN MIGUEL*;Nov;8.0;69.2;3.7;120.3;20.3;25.9;14.7;
SAN MIGUEL*;Dic;7.5;67.0;3.5;100.9;22.9;28.9;17.2;
SAN RAFAEL AERO;Ene;5.4;50.0;2.5;54.2;23.8;31.8;15.8;10.9
SAN RAFAEL AERO;Feb;5.1;56.1;2.6;50.6;22.0;30.2;14.7;10.1
SAN RAFAEL AERO;Mar;3.7;61.3;2.6;40.2;19.4;27.4;12.9;9.4
SAN RAFAEL AERO;Abr;3.3;65.7;2.9;26.6;14.6;22.6;8.6;8.6
SAN RAFAEL AERO;May;3.0;68.6;3.4;21.3;10.7;18.5;5.2;8.7
SAN RAFAEL AERO;Jun;1.3;63.2;3.1;7.2;7.7;16.1;1.9;10.1
SAN RAFAEL AERO;Jul;1.7;60.4;2.9;11.1;6.8;15.4;0.8;10.2
SAN RAFAEL AERO;Ago;2.3;53.8;2.7;14.5;9.1;18.0;2.3;11.2
SAN RAFAEL AERO;Sep;2.9;52.6;2.9;21.5;12.2;20.5;4.9;10.3
SAN RAFAEL AERO;Oct;3.9;51.3;3.0;38.3;16.0;23.9;8.2;10.4
SAN RAFAEL AERO;Nov;4.5;48.2;2.7;36.2;19.7;27.6;11.4;11.1
SAN RAFAEL AERO;Dic;4.9;46.6;2.4;41.2;22.6;30.7;14.2;11.1
SANTA ROSA AERO;Ene;7.0;57.1;3.1;95.3;23.8;31.5;16.5;16.8
SANTA ROSA AERO;Feb;5.9;62.9;3.0;88.3;22.2;29.9;15.2;15.0
SANTA ROSA AERO;Mar;5.9;68.4;3.1;99.0;19.7;27.3;13.4;15.1
SANTA ROSA AERO;Abr;4.6;70.7;3.6;63.8;15.2;22.7;9.5;13.5
SANTA ROSA AERO;May;3.1;75.8;4.3;32.1;11.3;18.2;6.1;12.3
SANTA ROSA AERO;Jun;2.4;73.6;4.3;17.3;8.1;15.1;3.0;11.8
SANTA ROSA AERO;Jul;2.6;70.2;4.2;18.8;7.4;14.5;2.1;12.9
SANTA ROSA AERO;Ago;2.3;62.7;3.8;26.9;9.6;17.6;3.5;14.4
SANTA ROSA AERO;Sep;4.1;60.0;3.8;49.7;12.5;20.3;5.9;15.9
SANTA ROSA AERO;Oct;6.2;62.1;3.9;90.2;15.8;23.0;9.2;16.1
SANTA ROSA AERO;Nov;5.7;56.5;3.4;75.9;19.6;27.1;12.4;16.6
SANTA ROSA AERO;Dic;6.7;53.3;3.2;96.1;22.7;30.3;15.2;16.4
SANTIAGO DEL ESTERO AERO;Ene;7.8;65.2;4.0;139.3;27.0;34.2;20.7;9.2
SANTIAGO DEL ESTERO AERO;Feb;7.0;68.9;4.1;106.5;25.8;32.7;20.0;8.6
SANTIAGO DEL ESTERO AERO;Mar;7.2;72.8;4.2;94.3;23.8;30.5;18.5;7.7
SANTIAGO DEL ESTERO AERO;Abr;5.0;75.3;4.4;39.9;20.1;26.7;14.9;7.7
SANTIAGO DEL ESTERO AERO;May;3.2;74.9;4.3;16.0;16.2;23.1;10.7;7.0
SANTIAGO DEL ESTERO AERO;Jun;2.0;72.7;4.2;9.3;12.9;20.4;7.1;6.8
SANTIAGO DEL ESTERO AERO;Jul;0.8;62.9;3.2;1.6;12.1;20.9;4.9;7.5
SANTIAGO DEL ESTERO AERO;Ago;0.5;52.2;2.6;3.5;15.4;24.8;7.2;8.8
SANTIAGO DEL ESTERO AERO;Sep;1.6;49.2;3.1;10.0;19.1;27.6;10.8;10.0
SANTIAGO DEL ESTERO AERO;Oct;4.8;54.7;3.8;55.2;22.8;30.6;15.6;10.6
SANTIAGO DEL ESTERO AERO;Nov;5.7;57.3;3.7;71.8;25.0;32.5;18.1;10.7
SANTIAGO DEL ESTERO AERO;Dic;7.6;61.3;3.9;105.0;26.7;34.1;20.2;10.0
SAUCE VIEJO AERO;Ene;6.3;68.5;2.9;98.7;25.7;31.5;20.1;12.3
SAUCE VIEJO AERO;Feb;6.8;72.9;3.1;117.5;24.4;30.0;19.1;11.4
SAUCE VIEJO AERO;Mar;6.4;75.0;2.9;138.4;22.6;28.5;17.6;10.8
SAUCE VIEJO AERO;Abr;7.0;78.5;3.3;127.9;18.9;24.6;14.0;11.0
SAUCE VIEJO AERO;May;4.0;80.7;3.7;52.1;15.5;21.0;11.0;11.7
SAUCE VIEJO AERO;Jun;2.6;80.7;3.9;33.3;12.4;18.0;7.9;11.8
SAUCE VIEJO AERO;Jul;2.5;77.4;3.5;25.4;11.5;17.5;6.7;13.0
SAUCE VIEJO AERO;Ago;3.0;72.0;3.0;32.2;13.8;20.3;8.3;14.4
SAUCE VIEJO AERO;Sep;4.4;69.1;3.2;49.4;16.3;22.5;10.6;14.1
SAUCE VIEJO AERO;Oct;7.1;70.2;3.5;114.8;19.4;25.2;14.0;14.6
SAUCE VIEJO AERO;Nov;7.1;67.4;3.0;143.0;22.2;28.0;16.5;13.9
SAUCE VIEJO AERO;Dic;7.7;67.2;3.0;143.1;24.4;30.2;18.7;12.5
TANDIL AERO;Ene;6.8;67.0;3.4;108.8;20.8;28.4;13.3;14.0
TANDIL AERO;Feb;5.9;72.8;3.4;98.5;19.6;26.9;12.7;12.5
TANDIL AERO;Mar;6.2;76.9;3.5;91.6;17.4;24.5;11.0;11.8
TANDIL AERO;Abr;5.6;78.3;3.6;93.5;13.5;20.5;7.4;11.7
TANDIL AERO;May;4.4;81.6;4.3;56.0;10.2;16.5;4.8;11.1
TANDIL AERO;Jun;3.9;80.5;4.4;48.6;7.2;13.3;2.0;11.9
TANDIL AERO;Jul;4.2;80.2;4.4;41.1;6.2;12.5;1.1;12.8
TANDIL AERO;Ago;3.9;75.9;4.2;57.5;8.2;15.0;2.4;14.3
TANDIL AERO;Sep;5.4;74.4;4.2;58.7;10.2;16.9;3.9;14.9
TANDIL AERO;Oct;7.0;73.8;4.2;85.9;13.3;19.9;6.8;15.2
TANDIL AERO;Nov;7.3;69.7;3.7;98.4;16.4;23.4;9.3;15.4
TANDIL AERO;Dic;6.1;64.6;3.3;74.0;19.5;27.0;11.6;15.2
TARTAGAL AERO;Ene;9.6;73.8;4.9;193.2;26.0;32.3;20.8;8.0
TARTAGAL AERO;Feb;9.8;78.4;5.0;197.8;24.9;31.0;20.3;7.5
TARTAGAL AERO;Mar;9.9;82.0;;164.5;23.5;29.0;19.5;6.6
TARTAGAL AERO;Abr;7.2;82.4;5.3;59.3;20.9;26.1;17.1;6.5
TARTAGAL AERO;May;4.4;81.8;5.3;24.4;17.7;23.0;13.6;6.3
TARTAGAL AERO;Jun;2.2;78.9;4.8;8.7;15.4;21.5;11.1;6.8
TARTAGAL AERO;Jul;1.2;69.5;3.8;4.0;14.8;22.1;9.3;7.3
TARTAGAL AERO;Ago;0.7;56.1;2.9;3.8;17.9;26.0;10.9;9.3
TARTAGAL AERO;Sep;1.7;50.6;3.5;17.9;21.1;28.9;14.1;10.1
TARTAGAL AERO;Oct;4.5;57.0;4.5;46.3;24.4;31.4;18.0;10.7
TARTAGAL AERO;Nov;7.3;63.5;4.7;112.2;25.2;31.9;19.1;9.8
TARTAGAL AERO;Dic;9.0;69.8;4.9;165.0;26.0;32.5;20.4;8.7
TINOGASTA;Ene;4.8;55.5;4.3;37.4;25.9;33.8;18.9;
TINOGASTA;Feb;4.2;58.2;4.0;27.0;24.7;32.5;17.6;
TINOGASTA;Mar;2.8;59.9;3.5;17.9;22.9;31.0;15.7;
TINOGASTA;Abr;0.9;61.1;2.9;6.2;18.8;27.2;10.5;
TINOGASTA;May;0.8;62.7;3.0;3.1;14.0;22.6;5.1;
TINOGASTA;Jun;0.4;57.8;2.9;2.5;11.0;20.3;1.4;
TINOGASTA;Jul;0.6;53.8;2.3;2.0;10.2;20.0;0.2;
TINOGASTA;Ago;0.3;46.0;2.0;1.2;13.7;23.6;2.7;
TINOGASTA;Sep;0.6;45.2;2.2;1.5;17.2;26.5;6.5;
TINOGASTA;Oct;0.8;46.3;2.5;4.9;21.5;30.2;11.4;
TINOGASTA;Nov;1.0;48.1;3.1;8.0;24.2;32.6;15.3;
TINOGASTA;Dic;2.7;49.5;3.6;21.3;26.2;34.2;18.0;
TRELEW AERO;Ene;2.2;42.1;3.3;11.9;21.6;29.3;13.7;21.3
TRELEW AERO;Feb;2.7;49.8;3.2;23.5;20.2;28.0;12.6;18.5
TRELEW AERO;Mar;3.1;52.9;3.4;21.0;17.9;25.4;10.8;16.2
TRELEW AERO;Abr;2.4;56.9;3.5;23.3;13.5;21.0;7.0;15.1
TRELEW AERO;May;3.7;65.0;4.0;22.6;9.5;16.1;3.6;14.3
TRELEW AERO;Jun;3.9;67.5;3.9;25.4;6.4;12.6;1.0;15.1
TRELEW AERO;Jul;3.2;66.3;3.8;17.4;5.9;12.4;0.3;14.8
TRELEW AERO;Ago;3.9;59.7;4.0;14.1;8.0;15.0;1.9;16.6
TRELEW AERO;Sep;3.4;56.0;3.9;14.7;10.4;17.6;3.7;17.0
TRELEW AERO;Oct;3.1;49.7;3.9;18.1;14.1;21.2;6.6;17.8
TRELEW AERO;Nov;2.5;44.4;3.8;12.9;17.4;24.8;9.6;19.8
TRELEW AERO;Dic;2.2;41.4;3.6;13.2;20.0;27.5;12.0;20.6
TRES ARROYOS;Ene;6.9;59.6;3.6;79.8;21.8;29.4;15.2;
TRES ARROYOS;Feb;6.7;66.6;3.7;106.5;20.5;27.9;14.6;
TRES ARROYOS;Mar;6.9;71.2;3.7;79.8;18.4;25.4;13.1;
TRES ARROYOS;Abr;6.5;73.3;4.1;73.2;14.2;20.9;9.4;
TRES ARROYOS;May;5.7;77.7;4.9;52.1;10.9;16.8;6.8;
TRES ARROYOS;Jun;4.9;76.5;4.9;44.0;8.1;13.5;4.0;
TRES ARROYOS;Jul;5.2;76.0;4.9;42.7;7.1;12.7;3.1;
TRES ARROYOS;Ago;4.8;71.1;4.7;46.3;8.9;15.2;4.3;
TRES ARROYOS;Sep;5.7;70.7;4.7;56.3;10.8;17.3;5.6;
TRES ARROYOS;Oct;7.3;69.8;4.5;82.1;13.8;20.3;8.3;
TRES ARROYOS;Nov;6.7;63.9;4.1;90.7;17.1;24.1;10.9;
TRES ARROYOS;Dic;7.0;58.1;3.8;78.5;20.3;28.0;13.6;
TUCUMÁN AERO;Ene;7.8;65.2;4.0;139.3;25.3;31.3;20.3;9.2
TUCUMÁN AERO;Feb;7.0;68.9;4.1;106.5;24.2;29.7;19.7;8.6
TUCUMÁN AERO;Mar;7.2;72.8;4.2;94.3;22.7;27.9;18.5;7.7
TUCUMÁN AERO;Abr;5.0;75.3;4.4;39.9;19.6;24.9;15.5;7.7
TUCUMÁN AERO;May;3.2;74.9;4.3;16.0;15.9;21.4;11.8;7.0
TUCUMÁN AERO;Jun;2.0;72.7;4.2;9.3;13.0;19.0;8.5;6.8
TUCUMÁN AERO;Jul;0.8;62.9;3.2;1.6;12.3;19.4;6.9;7.5
TUCUMÁN AERO;Ago;0.5;52.2;2.6;3.5;15.2;23.3;8.7;8.8
TUCUMÁN AERO;Sep;1.6;49.2;3.1;10.0;18.4;26.3;11.5;10.0
TUCUMÁN AERO;Oct;4.8;54.7;3.8;55.2;21.8;28.9;15.4;10.6
TUCUMÁN AERO;Nov;5.7;57.3;3.7;71.8;23.7;30.3;17.7;10.7
TUCUMÁN AERO;Dic;7.6;61.3;3.9;105.0;25.1;31.3;19.5;10.0
USHUAIA AERO*;Ene;8.6;71.1;5.9;45.1;9.5;13.6;;27.4
USHUAIA AERO*;Feb;7.5;73.0;5.6;34.6;9.4;13.6;;23.7
USHUAIA AERO*;Mar;7.9;74.2;5.5;38.3;8.4;12.2;;21.2
USHUAIA AERO*;Abr;9.2;77.1;5.3;47.0;6.2;9.4;;21.4
USHUAIA AERO*;May;7.8;78.5;4.8;35.3;4.3;6.9;;18.6
USHUAIA AERO*;Jun;9.3;81.0;5.0;42.5;2.5;4.5;;19.5
USHUAIA AERO*;Jul;8.1;79.5;5.0;35.8;2.3;4.6;0.2;20.0
USHUAIA AERO*;Ago;8.6;77.0;5.1;38.4;2.9;5.7;;20.0
USHUAIA AERO*;Sep;7.4;74.5;5.2;30.5;4.3;7.6;;22.0
USHUAIA AERO*;Oct;6.9;70.1;5.3;28.4;6.2;10.1;;24.9
USHUAIA AERO*;Nov;8.6;70.7;5.7;38.9;7.4;11.5;;27.3
USHUAIA AERO*;Dic;9.2;70.8;5.9;43.0;8.6;12.5;;26.0
VENADO TUERTO AERO;Ene;7.0;76.5;2.9;112.6;23.0;29.7;16.6;
VENADO TUERTO AERO;Feb;6.3;80.7;3.1;112.0;21.6;28.3;15.7;
VENADO TUERTO AERO;Mar;6.4;79.7;2.9;122.4;20.0;27.1;14.0;
VENADO TUERTO AERO;Abr;6.5;79.2;3.4;89.7;16.5;23.7;10.9;
VENADO TUERTO AERO;May;4.1;80.9;3.8;45.3;13.0;19.7;7.9;
VENADO TUERTO AERO;Jun;2.0;80.1;3.8;17.7;9.9;16.6;4.5;
VENADO TUERTO AERO;Jul;;77.6;3.7;;8.8;16.0;3.3;
VENADO TUERTO AERO;Ago;2.2;72.6;3.2;21.5;11.0;18.9;4.5;
VENADO TUERTO AERO;Sep;4.1;70.4;3.2;45.1;13.6;21.2;6.8;
VENADO TUERTO AERO;Oct;7.3;72.9;3.5;93.0;16.9;23.7;10.4;
VENADO TUERTO AERO;Nov;6.5;69.0;3.1;90.5;20.2;27.4;13.3;
VENADO TUERTO AERO;Dic;;70.3;2.9;;22.4;29.5;15.4;
VIEDMA AERO;Ene;3.2;51.0;2.8;30.8;22.1;29.7;14.7;
VIEDMA AERO;Feb;3.8;56.9;2.9;40.3;21.0;28.5;14.0;
VIEDMA AERO;Mar;4.5;62.8;3.1;53.0;18.6;25.9;12.1;
VIEDMA AERO;Abr;4.2;67.3;3.5;37.7;14.0;21.2;7.9;
VIEDMA AERO;May;4.1;73.8;4.2;31.8;10.3;16.7;4.9;
VIEDMA AERO;Jun;3.9;73.4;4.3;26.8;7.5;13.5;2.4;
VIEDMA AERO;Jul;4.0;71.6;4.1;29.7;6.7;13.1;1.4;
VIEDMA AERO;Ago;3.4;66.4;4.1;24.7;8.4;15.4;2.5;
VIEDMA AERO;Sep;3.8;64.1;3.9;24.3;10.6;17.7;4.0;
VIEDMA AERO;Oct;3.9;58.7;3.7;32.4;14.2;21.4;7.0;
VIEDMA AERO;Nov;3.9;52.9;3.5;28.4;17.8;25.1;10.3;
VIEDMA AERO;Dic;3.3;49.4;3.2;23.2;20.6;28.2;12.9;
VILLA DE MARÍA DEL RÍO SECO;Ene;7.8;73.1;3.8;114.3;24.5;31.8;;6.4
VILLA DE MARÍA DEL RÍO SECO;Feb;7.0;79.3;4.0;115.5;22.7;29.8;;4.9
VILLA DE MARÍA DEL RÍO SECO;Mar;7.2;81.2;3.9;116.6;21.0;28.1;;4.3
VILLA DE MARÍA DEL RÍO SECO;Abr;6.0;81.9;4.2;64.3;17.5;24.5;;4.0
VILLA DE MARÍA DEL RÍO SECO;May;3.0;81.1;4.4;24.5;13.9;21.3;;4.2
VILLA DE MARÍA DEL RÍO SECO;Jun;1.4;78.6;4.0;9.1;11.0;18.9;;4.4
VILLA DE MARÍA DEL RÍO SECO;Jul;1.3;73.9;3.3;8.0;9.9;18.7;;5.1
VILLA DE MARÍA DEL RÍO SECO;Ago;0.6;66.6;2.8;4.9;12.7;21.9;;6.2
VILLA DE MARÍA DEL RÍO SECO;Sep;2.2;65.1;3.1;20.8;15.8;24.3;;6.6
VILLA DE MARÍA DEL RÍO SECO;Oct;5.3;68.3;3.7;64.8;19.3;26.9;;7.6
VILLA DE MARÍA DEL RÍO SECO;Nov;7.1;69.0;3.5;89.8;21.9;29.4;;7.0
VILLA DE MARÍA DEL RÍO SECO;Dic;7.9;69.8;3.7;120.3;23.9;31.3;;6.5
VILLA DOLORES AERO;Ene;8.5;58.6;3.3;111.3;25.4;32.7;18.4;10.9
VILLA DOLORES AERO;Feb;8.0;64.9;3.4;108.3;23.8;31.0;17.4;9.8
VILLA DOLORES AERO;Mar;6.8;68.9;3.3;93.0;21.8;28.8;16.0;10.1
VILLA DOLORES AERO;Abr;4.9;71.4;3.6;49.8;17.8;24.8;12.7;9.3
VILLA DOLORES AERO;May;2.7;72.9;3.8;18.4;13.9;20.9;9.0;9.2
VILLA DOLORES AERO;Jun;1.4;69.8;3.4;6.7;10.7;18.4;5.6;9.6
VILLA DOLORES AERO;Jul;1.1;62.6;3.0;6.7;10.0;18.1;4.4;9.8
VILLA DOLORES AERO;Ago;1.0;51.5;2.7;4.7;13.0;21.6;6.5;11.3
VILLA DOLORES AERO;Sep;2.5;48.4;2.9;19.9;16.3;24.6;9.2;11.5
VILLA DOLORES AERO;Oct;4.3;50.8;3.2;41.9;20.1;27.9;12.8;11.3
VILLA DOLORES AERO;Nov;7.3;52.1;3.2;77.3;22.8;30.4;15.4;12.9
VILLA DOLORES AERO;Dic;8.5;55.3;3.2;102.7;24.7;32.2;17.4;13.1
VILLA REYNOLDS AERO;Ene;8.4;66.9;3.6;102.8;23.3;31.2;15.5;12.7
VILLA REYNOLDS AERO;Feb;7.7;72.1;3.6;89.8;21.6;29.8;14.3;11.0
VILLA REYNOLDS AERO;Mar;7.5;75.1;3.4;96.2;19.5;28.0;12.6;9.2
VILLA REYNOLDS AERO;Abr;5.7;75.9;3.7;68.9;15.3;24.0;8.7;9.2
VILLA REYNOLDS AERO;May;3.7;77.4;4.1;31.7;11.4;20.3;4.9;8.0
VILLA REYNOLDS AERO;Jun;1.8;75.0;3.8;9.8;8.0;17.7;1.0;7.8
VILLA REYNOLDS AERO;Jul;2.0;70.8;3.6;10.5;7.0;17.1;-0.3;8.6
VILLA REYNOLDS AERO;Ago;2.4;63.3;3.4;15.6;9.7;20.2;1.5;11.2
VILLA REYNOLDS AERO;Sep;4.0;60.9;3.6;35.4;13.1;22.6;4.6;12.6
VILLA REYNOLDS AERO;Oct;7.1;63.0;3.9;65.8;16.9;25.2;8.9;16.3
VILLA REYNOLDS AERO;Nov;8.8;62.0;3.8;92.4;20.0;28.1;11.9;15.1
VILLA REYNOLDS AERO;Dic;9.1;62.1;3.6;105.4;22.5;30.6;14.3;14.0
